year,month,day,team_1_code,team_2_code,tournament_code,host_code,team_1_rank,team_2_rank,team_1_rating,team_2_rating,team_1_win_expectancy,draw_points_exchange,team_1_win_by_1_points,team_2_win_by_1_points,team_1_win_by_2_points,team_2_win_by_2_points,team_1_win_by_3_points,team_2_win_by_3_points,team_1_win_by_4_points,team_2_win_by_4_points,team_1_win_by_5_points,team_2_win_by_5_points,match_date,extracted_at,source
2026,7,31,TL,ID,SEA,,215,113,734,1372,2.0,19,39,1,59,1,68,2,73,2,78,2,2026-07-31,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,7,31,VN,SG,SEA,VN,118,167,1351,1134,86.0,-14,6,34,8,52,10,60,10,65,11,69,2026-07-31,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,1,LA,PH,SEA,LA,215,161,734,1179,12.0,15,35,5,53,7,62,8,66,9,70,10,2026-08-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,1,TH,MY,SEA,TH,109,137,1376,1293,74.0,-10,10,30,16,44,18,52,19,56,21,59,2026-08-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,3,KH,TL,SEA,KH,203,215,871,734,80.0,-12,8,32,12,48,14,56,15,60,16,64,2026-08-03,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,3,ID,VN,SEA,ID,113,118,1372,1351,67.0,-7,13,27,20,40,23,47,25,50,27,53,2026-08-03,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,4,MM,LA,SEA,MM,187,215,984,734,88.0,-15,5,35,7,53,8,62,9,66,9,71,2026-08-04,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,4,PH,TH,SEA,PH,161,109,1179,1376,36.0,5,25,15,38,22,45,25,48,27,51,29,2026-08-04,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,7,SG,ID,SEA,SG,167,113,1134,1372,31.0,8,28,12,41,19,48,22,52,23,55,25,2026-08-07,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,7,VN,KH,SEA,VN,118,203,1351,871,97.0,-19,1,39,2,58,2,68,3,72,3,77,2026-08-07,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,8,MY,PH,SEA,MY,137,161,1293,1179,77.0,-11,9,31,14,46,16,54,17,58,18,62,2026-08-08,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,8,8,TH,MM,SEA,TH,109,187,1376,984,94.0,-18,2,38,3,57,4,66,4,71,4,76,2026-08-08,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,DZ,ZM,FQ,DZ,27,115,1780,1371,95.0,-18,2,38,3,57,4,66,4,71,4,76,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,BF,BJ,FQ,BF,78,100,1529,1405,78.0,-11,9,31,13,47,15,55,16,59,17,63,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,CM,KM,FQ,CM,62,111,1614,1374,88.0,-15,5,35,7,53,9,61,9,66,10,70,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,CD,GQ,FQ,CD,53,106,1666,1380,90.0,-16,4,36,6,54,7,63,7,68,8,72,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,EG,AO,FQ,EG,35,75,1740,1542,85.0,-14,6,34,9,51,11,59,11,64,12,68,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,GM,SO,FQ,GM,97,188,1419,979,96.0,-18,2,38,3,57,3,67,3,72,3,77,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,CI,GH,FQ,CI,38,69,1728,1584,80.0,-12,8,32,12,48,14,56,15,60,16,64,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,KE,ER,FQ,KE,116,158,1363,1201,82.0,-13,7,33,11,49,13,57,14,61,14,66,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,LY,BW,FQ,LY,96,148,1420,1267,81.0,-12,8,32,11,49,13,57,14,61,15,65,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,MW,SS,FQ,MW,151,171,1239,1109,79.0,-12,8,32,13,47,15,55,16,59,17,63,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,ML,CV,FQ,ML,67,58,1588,1625,59.0,-4,16,24,25,35,29,41,31,44,33,47,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,MR,CF,FQ,MR,128,153,1329,1236,75.0,-10,10,30,15,45,17,53,19,56,20,60,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,MA,GA,FQ,MA,15,101,1877,1401,96.0,-19,1,39,2,58,2,68,3,72,3,77,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,,CG,FQ,,135,157,1303,1207,76.0,-10,10,30,15,45,17,53,18,57,20,60,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,NG,MG,FQ,NG,30,106,1767,1380,94.0,-18,2,38,3,57,4,66,4,71,5,75,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,NE,LS,FQ,NE,105,159,1382,1198,84.0,-13,7,33,10,50,11,59,12,63,13,67,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,RW,LR,FQ,RW,125,134,1336,1304,68.0,-7,13,27,19,41,22,48,24,51,25,55,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,SN,MZ,FQ,SN,23,121,1817,1342,96.0,-19,1,39,2,58,2,68,3,72,3,77,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,SL,ZW,FQ,SL,123,113,1341,1372,60.0,-4,16,24,24,36,28,42,30,45,32,48,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,ZA,GN,FQ,ZA,70,86,1575,1463,77.0,-11,9,31,14,46,16,54,17,58,18,62,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,SD,ET,FQ,SD,119,141,1350,1287,72.0,-9,11,29,17,43,20,50,21,54,22,58,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,TZ,GW,FQ,TZ,132,150,1313,1248,72.0,-9,11,29,17,43,20,50,21,54,22,58,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,TG,BI,FQ,TG,108,143,1379,1285,75.0,-10,10,30,15,45,17,53,18,57,20,60,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,0,TN,UG,FQ,TN,71,102,1570,1394,83.0,-13,7,33,10,50,12,58,13,62,14,66,2026-09-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,23,IQ,OM,GLF,SA,68,83,1586,1480,65.0,-6,14,26,21,39,25,45,26,49,28,52,2026-09-23,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,23,SA,KW,GLF,SA,65,127,1593,1332,89.0,-16,4,36,7,53,8,62,8,67,9,71,2026-09-23,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,NL,DE,ENA,NL,8,9,1972,1954,66.0,-7,13,27,20,40,24,46,25,50,27,53,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,NO,DK,ENA,NO,10,16,1951,1869,74.0,-10,10,30,16,44,18,52,19,56,21,59,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,PT,WA,ENA,PT,7,47,1988,1682,91.0,-16,4,36,5,55,6,64,7,68,7,73,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,RS,GR,ENA,RS,36,34,1734,1744,63.0,-5,15,25,22,38,26,44,28,47,30,50,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,AT,IL,ENB,AT,21,55,1841,1647,84.0,-14,6,34,9,51,11,59,12,63,12,68,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,KO,IE,ENB,KO,42,45,1714,1699,66.0,-6,14,26,20,40,24,46,26,49,27,53,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,AD,MT,END,AD,175,149,1080,1255,39.0,4,24,16,36,24,42,28,45,30,49,31,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,LI,LT,END,LI,200,146,895,1279,16.0,13,33,7,50,10,59,11,63,12,67,13,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,BH,QA,GLF,SA,98,99,1414,1411,50.0,0,20,20,30,30,35,35,37,38,40,40,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,24,AE,YE,GLF,SA,76,160,1540,1195,88.0,-15,5,35,7,53,8,62,9,66,10,70,2026-09-24,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,IT,BE,ENA,IT,16,16,1869,1869,64.0,-6,14,26,22,38,25,45,27,48,29,51,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,TR,FR,ENA,TR,25,3,1813,2090,27.0,9,29,11,44,16,51,19,55,20,59,21,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,GE,EI,ENB,GE,54,64,1654,1605,70.0,-8,12,28,18,42,21,49,22,53,24,56,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,HU,UA,ENB,HU,43,27,1710,1780,54.0,-2,18,22,27,33,32,38,34,41,37,43,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,PL,BA,ENB,PL,43,59,1710,1622,75.0,-10,10,30,15,45,18,52,19,56,20,60,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,SE,RO,ENB,SE,39,56,1727,1639,75.0,-10,10,30,15,45,18,52,19,56,20,60,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,AM,LV,ENC,AM,112,139,1373,1288,74.0,-10,10,30,15,45,18,52,19,56,21,59,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,25,ME,CY,ENC,ME,87,131,1461,1314,81.0,-12,8,32,12,48,14,56,15,60,16,64,2026-09-25,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,CZ,HR,ENA,CZ,49,14,1680,1896,34.0,6,26,14,40,20,46,24,50,25,53,27,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,EN,ES,ENA,EN,4,2,2028,2134,49.0,0,20,20,31,29,36,34,38,37,41,39,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,NM,CH,ENB,NM,66,12,1589,1914,21.0,11,31,9,47,13,55,15,59,16,63,17,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,SI,SQ,ENB,SI,47,33,1682,1745,55.0,-2,18,22,27,33,31,39,34,41,36,44,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,AL,BY,ENC,AL,61,80,1616,1522,75.0,-10,10,30,15,45,17,53,18,57,20,60,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,BG,LU,ENC,BG,88,90,1458,1450,65.0,-6,14,26,21,39,24,46,26,49,28,52,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,FO,KZ,ENC,FO,103,93,1386,1428,58.0,-3,17,23,25,35,29,41,31,44,33,47,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,IS,EE,ENC,IS,73,117,1568,1360,85.0,-14,6,34,9,51,10,60,11,64,12,68,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,SM,FI,ENC,SM,206,77,825,1536,3.0,19,39,1,58,2,68,2,73,2,78,2,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,SK,MD,ENC,SK,52,147,1667,1270,95.0,-18,2,38,3,57,4,66,4,71,4,76,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,IQ,KW,GLF,SA,68,127,1586,1332,81.0,-12,8,32,11,49,13,57,14,61,15,65,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,26,SA,OM,GLF,SA,65,83,1593,1480,77.0,-11,9,31,14,46,16,54,17,58,18,62,2026-09-26,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,DK,WA,ENA,DK,16,47,1869,1682,84.0,-14,6,34,10,50,11,59,12,63,13,67,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,DE,GR,ENA,DE,9,34,1954,1744,86.0,-14,6,34,9,51,10,60,11,64,11,69,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,NO,PT,ENA,NO,10,7,1951,1988,59.0,-4,16,24,25,35,29,41,31,44,33,47,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,RS,NL,ENA,RS,36,8,1734,1972,31.0,8,28,12,41,19,48,22,52,23,55,25,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,AT,KO,ENB,AT,21,42,1841,1714,79.0,-11,9,31,13,47,15,55,16,59,17,63,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,IE,IL,ENB,,45,55,1699,1647,57.0,-3,17,23,26,34,30,40,32,43,34,46,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,GI,AD,END,GI,183,175,1011,1080,54.0,-2,18,22,27,33,32,38,34,41,36,44,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,LT,AZ,END,LT,146,129,1279,1322,58.0,-3,17,23,25,35,29,41,31,44,33,47,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,BH,AE,GLF,SA,98,76,1414,1540,33.0,7,27,13,40,20,47,23,51,24,54,26,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,27,QA,YE,GLF,SA,99,160,1411,1195,78.0,-11,9,31,13,47,16,54,17,58,18,62,2026-09-27,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,BE,FR,ENA,BE,16,3,1869,2090,33.0,7,27,13,40,20,47,23,50,25,53,27,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,TR,IT,ENA,TR,25,16,1813,1869,56.0,-3,17,23,26,34,31,39,33,42,35,45,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,EI,HU,ENB,EI,64,43,1605,1710,49.0,0,20,20,30,30,36,34,38,37,41,39,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,RO,BA,ENB,RO,56,59,1639,1622,66.0,-6,14,26,20,40,24,46,25,50,27,53,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,SE,PL,ENB,SE,39,43,1727,1710,66.0,-6,14,26,20,40,24,46,25,50,27,53,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,GE,UA,ENB,GE,54,27,1654,1780,46.0,1,21,19,32,28,38,32,40,35,43,37,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,AM,ME,ENC,AM,112,87,1373,1461,52.0,-1,19,21,29,31,34,36,36,39,39,41,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,28,LV,CY,ENC,LV,139,131,1288,1314,60.0,-4,16,24,24,36,28,42,30,45,32,48,2026-09-28,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,CZ,EN,ENA,CZ,49,4,1680,2028,19.0,12,32,8,48,12,56,14,60,15,65,15,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,ES,HR,ENA,ES,2,14,2134,1896,87.0,-15,5,35,8,52,9,61,9,66,10,70,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,SQ,CH,ENB,SQ,33,12,1745,1914,40.0,4,24,16,36,24,42,28,45,30,48,32,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,SI,NM,ENB,SI,47,66,1682,1589,75.0,-10,10,30,15,45,17,53,19,56,20,60,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,BG,EE,ENC,BG,88,117,1458,1360,76.0,-10,10,30,15,45,17,53,18,57,19,61,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,FI,BY,ENC,FI,77,80,1536,1522,66.0,-6,14,26,20,40,24,46,26,49,27,53,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,LU,IS,ENC,LU,90,73,1450,1568,47.0,1,21,19,32,28,37,33,39,36,42,38,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,MD,FO,ENC,MD,147,103,1270,1386,48.0,1,21,19,31,29,37,33,39,36,42,38,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,SM,AL,ENC,SM,206,61,825,1616,1.8,19,39,1,59,1,69,1,74,1,79,1,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,SK,KZ,ENC,SK,52,93,1667,1428,88.0,-15,5,35,7,53,9,61,9,66,10,70,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,KW,OM,GLF,SA,127,83,1332,1480,30.0,8,28,12,42,18,49,21,53,22,56,24,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,29,SA,IQ,GLF,SA,65,68,1593,1586,65.0,-6,14,26,21,39,25,45,26,49,28,52,2026-09-29,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,30,BH,YE,GLF,SA,98,160,1414,1195,78.0,-11,9,31,13,47,15,55,17,58,18,62,2026-09-30,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,9,30,QA,AE,GLF,SA,99,76,1411,1540,32.0,7,27,13,41,19,47,23,51,24,54,26,2026-09-30,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,DK,PT,ENA,DK,16,7,1869,1988,47.0,1,21,19,32,28,37,33,40,35,42,38,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,DE,RS,ENA,DE,9,36,1954,1734,86.0,-15,5,35,8,52,10,60,10,65,11,69,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,GR,NL,ENA,GR,34,8,1744,1972,32.0,7,27,13,41,19,47,23,51,24,54,26,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,WA,NO,ENA,WA,47,10,1682,1951,27.0,9,29,11,44,16,51,19,54,21,58,22,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,IE,AT,ENB,IE,45,21,1699,1841,44.0,2,22,18,34,26,39,31,42,33,45,35,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,IL,KO,ENB,,55,42,1647,1714,40.0,4,24,16,36,24,42,28,45,30,48,32,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,AZ,LI,END,AZ,129,200,1322,895,95.0,-18,2,38,3,57,3,67,3,72,4,76,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,1,MT,GI,END,MT,149,183,1255,1011,88.0,-15,5,35,7,53,8,62,9,66,10,70,2026-10-01,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,2,BE,TR,ENA,BE,16,25,1869,1813,71.0,-8,12,28,17,43,20,50,22,53,23,57,2026-10-02,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,2,FR,IT,ENA,FR,3,16,2090,1869,86.0,-15,5,35,8,52,10,60,10,65,11,69,2026-10-02,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,2,BA,SE,ENB,BA,59,39,1622,1727,49.0,0,20,20,30,30,36,34,38,37,41,39,2026-10-02,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,2,HU,GE,ENB,HU,43,54,1710,1654,71.0,-8,12,28,17,43,20,50,22,53,23,57,2026-10-02,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
2026,10,2,PL,RO,ENB,PL,43,56,1710,1639,73.0,-9,11,29,16,44,19,51,20,55,22,58,2026-10-02,2026-06-25T12:40:11,https://www.eloratings.net/fixtures.tsv
